issn,eissn,status,year
,13257730,inactive,2009
,13297147,inactive,2004
,13482238,inactive,2009
,13492942,inactive,2015
,13664786,inactive,2005
,13687506,inactive,2012
,13692607,inactive,2005
,14331055,inactive,2014
,14347512,inactive,2021
,14419939,inactive,1996
,14435756,inactive,2009
,14445530,inactive,2016
,14465442,inactive,2017
,14490706,inactive,2012
,14545101,inactive,2022
,14602733,inactive,2003
,14611570,inactive,2017
,14709031,inactive,2009
,14712091,inactive,2019
,14712121,inactive,2018
,1471213X,inactive,2021
,14712148,inactive,2020
,14712156,inactive,2020
,14712199,inactive,2019
,14712210,inactive,2012
,14712296,inactive,2021
,14712326,inactive,2012
,14712350,inactive,2020
,14712385,inactive,2007
,14715945,inactive,2020
,14718219,inactive,2001
,14726769,inactive,2012
,14726793,inactive,2019
,14726807,inactive,2019
,14726815,inactive,2019
,14726882,inactive,2019
,14726890,inactive,2019
,14726904,inactive,2012
,1472698X,inactive,2020
,14737507,inactive,2013
,14752883,inactive,2007
,14757192,discontinued,2020
,14759292,inactive,2007
,14765918,inactive,2009
,14765926,inactive,2012
,14768518,inactive,2011
,14769433,inactive,2006
,1477044X,inactive,2008
,14775751,inactive,2017
,14776804,inactive,2005
,14777800,inactive,2010
,14781336,inactive,2007
,14790556,inactive,2012
,14797860,inactive,2014
,14966603,inactive,2009
,15049922,inactive,2019
,15212076,inactive,2002
,15220222,discontinued,2021
,15221059,inactive,2004
,15228150,inactive,2003
,1522936X,policy,2025
,15231712,inactive,2012
,15236064,inactive,2010
,15245039,inactive,2015
,15259102,inactive,2005
,15275558,inactive,2008
,15276228,inactive,2008
,15279359,inactive,2008
,15283356,inactive,2014
,15288250,inactive,2011
,15288331,inactive,2023
,1528834X,inactive,2011
,15288366,inactive,2016
,15288374,inactive,2011
,15288382,inactive,2012
,15288439,inactive,2016
,15293041,inactive,2004
,15305686,inactive,2006
,15312941,inactive,2013
,1531295X,inactive,2016
,15312976,inactive,2011
,15312984,inactive,2015
,15313018,inactive,2010
,15325865,inactive,2022
,15345955,inactive,2006
,15345963,inactive,2006
,15345971,inactive,2006
,1534598X,inactive,2006
,15345998,inactive,2006
,15346005,inactive,2006
,15346013,inactive,2006
,15351653,inactive,2006
,15351661,inactive,2006
,1535167X,inactive,2006
,15352250,inactive,2011
,15360059,inactive,2012
,15365379,inactive,2009
,15367509,inactive,2005
,15380637,inactive,2006
,15380653,inactive,2006
,15386414,inactive,2012
,15391515,inactive,2013
,15394646,inactive,2010
,15398323,inactive,2019
,15402525,inactive,2010
,15402614,inactive,2015
,15414329,inactive,2021
,15414922,inactive,2008
,15417115,inactive,2012
,15431622,inactive,2003
,15442896,discontinued,2016
,15443574,inactive,2018
,15455556,inactive,2014
,1546962X,inactive,2012
,15507521,discontinued,2016
,15507629,inactive,2018
,15508390,inactive,2014
,15513688,inactive,2020
,15518507,inactive,2015
,15518868,inactive,2009
,15518965,inactive,2016
,15530302,inactive,2016
,15530671,inactive,2018
,15544567,inactive,2019
,15549178,inactive,2015
,15555887,inactive,2007
,15584291,inactive,2012
,15586847,inactive,2017
,15593916,inactive,2015
,1567214X,inactive,2019
,15672158,inactive,2016
,15672697,inactive,2005
,15710653,inactive,2019
,15723496,inactive,2005
,15759563,policy,2025
,15776921,inactive,2022
,15794377,inactive,2012
,15831078,discontinued,2016
,15908577,discontinued,2015
,16005368,inactive,2015
,16386205,inactive,2005
,16386213,inactive,2005
,1638623X,inactive,2005
,16386248,inactive,2005
,16602110,inactive,2014
,16602129,inactive,2014
,16602137,inactive,2014
,16626427,inactive,2014
,1663070X,inactive,2013
,16645529,inactive,2018
,16950194,policy,2024
,16957504,discontinued,2024
,16962206,inactive,2017
,1698580X,inactive,2015
,16989465,discontinued,2015
,17182301,discontinued,2020
,17184835,inactive,2018
,17284562,inactive,2013
,17293782,inactive,2018
,17295254,inactive,2018
,1735188X,discontinued,2021
,17402557,inactive,2009
,17406749,inactive,2021
,17406757,inactive,2020
,17406765,inactive,2013
,17406773,inactive,2013
,17419409,inactive,2006
,17425573,inactive,2012
,17425581,inactive,2007
,17427622,inactive,2023
,17438454,inactive,2010
,17438462,inactive,2010
,17443091,inactive,2014
,17446716,inactive,2021
,17450322,inactive,2012
,17457580,inactive,2013
,17459656,inactive,2015
,17459974,inactive,2014
,17461340,inactive,2010
,17461448,inactive,2011
,17475333,inactive,2016
,17487161,inactive,2015
,17498104,inactive,2024
,17501164,inactive,2016
,17502187,inactive,2022
,17504732,inactive,2010
,17510473,inactive,2020
,17514991,inactive,2011
,17520509,inactive,2019
,1752153X,inactive,2018
,17522897,inactive,2016
,17534631,inactive,2012
,17535174,inactive,2011
,17546834,inactive,2021
,17547431,inactive,2019
,17550017,inactive,2011
,17551536,inactive,2016
,17552672,inactive,2021
,17557682,discontinued,2015
,17559294,inactive,2012
,17562023,inactive,2010
,17566649,inactive,2014
,17571626,inactive,2014
,17572428,inactive,2014
,17575036,inactive,2010
,17575931,inactive,2013
,17582555,inactive,2012
,17583284,discontinued,2015
,17587360,inactive,2014
,1758907X,inactive,2013
,17625858,inactive,2005
,17626013,inactive,2005
,17626137,inactive,2005
,17626145,inactive,2005
,17696763,inactive,2005
,18042740,inactive,2014
,1813856X,inactive,2015
,1815347X,inactive,2023
,18197566,inactive,2015
,18234631,inactive,2019
,18235530,inactive,2014
,1824727X,inactive,2019
,1825229X,inactive,2015
,18278620,discontinued,2021
,18325505,inactive,2016
,18328679,inactive,2010
,1833928X,inactive,2024
,18349250,inactive,2015
,18361935,discontinued,2017
,18368808,inactive,2023
,18370144,inactive,2022
,18379303,inactive,2020
,18380956,inactive,2021
,18382142,inactive,2012
,18387640,discontinued,2025
,18404529,inactive,2013
,18495435,inactive,2022
,18578489,discontinued,2023
,18579655,discontinued,2022
,18605214,inactive,2013
,18609937,inactive,2016
,18637329,inactive,2014
,18641385,inactive,2023
,1872115X,inactive,2009
,1873135X,inactive,1995
,18740790,inactive,2015
,1874088X,discontinued,2018
,1874110X,inactive,2018
,18741266,inactive,2014
,18741290,discontinued,2018
,18741436,inactive,2013
,1874155X,inactive,2015
,18741584,inactive,2013
,18741967,inactive,2015
,18742130,inactive,2021
,18742262,inactive,2014
,18742416,inactive,2014
,18742793,discontinued,2015
,18742823,inactive,2015
,18743218,inactive,2018
,18743404,inactive,2013
,18743471,inactive,2015
,18744184,inactive,2015
,18744214,inactive,2014
,18744443,inactive,2015
,18744532,inactive,2020
,1874558X,inactive,2004
,18746020,inactive,1996
,18747698,inactive,2010
,18748287,inactive,2014
,18748384,inactive,2015
,18748481,inactive,2014
,1874916X,inactive,2015
,18749232,inactive,2015
,18749402,inactive,2011
,18749496,inactive,2015
,18750354,inactive,2013
,18750362,discontinued,2025
,18750370,inactive,2013
,18750397,inactive,2014
,18750435,inactive,2013
,18750443,inactive,2013
,18751814,inactive,2013
,18753973,inactive,2012
,18759335,inactive,2011
,1876214X,inactive,2014
,18763251,inactive,2014
,1876326X,inactive,2013
,1876391X,inactive,2013
,18763960,inactive,2015
,18764010,inactive,2013
,18765238,inactive,2012
,18765246,inactive,2015
,18765254,inactive,2015
,18765262,inactive,2020
,18765289,inactive,2012
,18765297,inactive,2015
,18765327,inactive,2014
,18765351,inactive,2010
,18765394,inactive,2014
,18768172,inactive,2014
,18768199,inactive,2011
,18768229,inactive,2015
,18768237,inactive,2015
,18768253,inactive,2013
,18768938,inactive,2020
,18768946,inactive,2014
,1877282X,inactive,2012
,18773818,inactive,2014
,18777295,inactive,2013
,18794122,inactive,2011
,18794378,inactive,2016
,18806023,inactive,2010
,18826660,inactive,2015
,18826695,inactive,2020
,18833578,inactive,2022
,18848826,inactive,2016
,18945570,inactive,2019
,18960782,inactive,2016
,18987249,inactive,2017
,19112092,inactive,2020
,19185901,inactive,2023
,19232799,inactive,2017
,19270321,inactive,2022
,19275307,discontinued,2021
,19294409,discontinued,2021
,19297092,discontinued,2019
,19300433,discontinued,2024
,19322321,discontinued,2025
,19326246,inactive,2018
,19335377,inactive,2013
,19344708,inactive,2017
,19347197,inactive,2010
,19347235,discontinued,2012
,19356226,inactive,2014
,19356439,inactive,2007
,19359810,inactive,2011
,19362625,discontinued,2017
,19366256,inactive,2019
,19372841,inactive,2019
,1937786X,inactive,2018
,19378289,discontinued,2020
,19389787,inactive,2020
,1939067X,inactive,2016
,19391633,inactive,2017
,19394810,inactive,2013
,19405901,discontinued,2017
,19406223,discontinued,2016
,19412851,inactive,2021
,19415842,inactive,2023
,19416911,inactive,2022
,19422660,discontinued,2016
,19429525,inactive,2011
,1943023X,discontinued,2020
,19430523,inactive,2002
,19438141,discontinued,2021
,19443277,inactive,2018
,19443285,discontinued,2024
,19448171,discontinued,2017
,19463251,inactive,2010
,19467125,inactive,2015
,19481756,discontinued,2017
,19483430,inactive,2020
,1948593X,discontinued,2014
,19485948,discontinued,2014
,19485956,discontinued,2014
,19485964,discontinued,2014
,19725787,inactive,2020
,1981982X,discontinued,2024
,19830823,inactive,2022
,19843046,inactive,2018
,19894104,discontinued,2026
,19898436,discontinued,2015
,1991637X,inactive,2011
,19922248,inactive,2011
,19960808,inactive,2012
,19960816,inactive,2011
,19960875,inactive,2012
,19984464,discontinued,2022
,19984510,discontinued,2022
,2000625X,inactive,2019
,20009666,inactive,2016
,20069863,inactive,2011
,20086822,discontinued,2022
,2008949X,discontinued,2026
,20103700,discontinued,2019
,20297092,inactive,2023
,20329407,discontinued,2024
,20344643,inactive,2022
,20386133,inactive,2016
,20402384,inactive,2010
,20404565,inactive,2023
,20407378,inactive,2016
,20412223,inactive,2016
,20419414,inactive,2022
,20425333,inactive,2014
,20439113,inactive,2015
,20453329,inactive,2019
,20455380,inactive,2015
,20461682,inactive,2020
,20462530,inactive,2019
,20467648,inactive,2018
,20471440,inactive,2016
,20473710,inactive,2020
,20490801,discontinued,2023
,2049324X,inactive,2022
,2050084X,inactive,2024
,20500904,discontinued,2021
,2050490X,inactive,2014
,20505736,inactive,2018
,20507445,inactive,2024
,20515707,inactive,2021
,20517599,inactive,2015
,20521839,inactive,2019
,20529538,inactive,2019
,20533721,inactive,2017
,20538871,inactive,2021
,20542232,inactive,2017
,20550758,inactive,2019
,20551045,inactive,2020
,20556101,inactive,2021
,20563299,inactive,2023
,20563973,inactive,2021
,20565542,inactive,2021
,20566115,inactive,2019
,20566697,inactive,2021
,20635346,discontinued,2022
,2068696X,discontinued,2020
,20687729,discontinued,2023
,20751680,discontinued,2023
,20753071,inactive,2020
,20763905,inactive,2017
,20773528,discontinued,2025
,20848838,inactive,2022
,20910800,inactive,2016
,20926731,inactive,2019
,20943938,discontinued,2021
,21460329,inactive,2021
,21460353,discontinued,2021
,21464138,discontinued,2025
,21464553,discontinued,2025
,21468397,discontinued,2017
,2147611X,discontinued,2023
,21476799,discontinued,2024
,21489637,discontinued,2021
,21489955,discontinued,2020
,21490333,inactive,2024
,21491135,policy,2025
,21492530,inactive,2022
,2149360X,discontinued,2020
,21499144,inactive,2025
,21501173,inactive,2017
,21503516,inactive,2012
,21520267,inactive,2019
,21524114,discontinued,2017
,21552053,inactive,2014
,21556113,discontinued,2014
,21556148,discontinued,2014
,21559546,discontinued,2014
,21559880,discontinued,2014
,21566976,discontinued,2017
,21573999,inactive,2017
,21577439,discontinued,2014
,21577560,discontinued,2014
,21577579,discontinued,2014
,21580669,inactive,2019
,21586195,inactive,2023
,21598126,inactive,2019
,21604150,discontinued,2017
,21604762,inactive,2020
,21612234,inactive,2021
,21612617,inactive,2020
,21624941,inactive,2014
,2162688X,inactive,2017
,21640602,inactive,2017
,21647860,inactive,2020
,2165591X,discontinued,2017
,2167485X,inactive,2022
,21678707,inactive,2024
,21688079,inactive,1926
,21698287,inactive,2018
,21716315,inactive,2021
,2172038X,policy,2024
,21720479,discontinued,2015
,21729077,policy,2025
,21749094,discontinued,2015
,21783640,inactive,2023
,21796491,inactive,2012
,21801363,discontinued,2025
,21843090,policy,2021
,21848645,policy,2025
,21851727,inactive,2008
,21908567,inactive,2021
,21912491,inactive,2013
,21912858,inactive,2014
,21922853,inactive,2014
,21931801,inactive,2017
,21939012,inactive,2017
,21939020,inactive,2017
,21939039,inactive,2017
,21943206,inactive,2020
,21955832,inactive,2021
,21957819,inactive,2021
,21962804,inactive,2022
,21964351,inactive,2021
,2197411X,policy,2025
,21974314,inactive,2021
,21975248,policy,2023
,21980926,inactive,2020
,21994706,inactive,2023
,22002014,discontinued,2020
,22009876,inactive,2012
,22024433,inactive,2019
,22102906,inactive,2016
,22112839,inactive,2016
,22112863,inactive,2016
,2211338X,inactive,2014
,22120971,inactive,2014
,22128263,inactive,2014
,22129685,inactive,2020
,22130586,inactive,2017
,22133232,inactive,2019
,22133976,inactive,2016
,22137459,inactive,2019
,22139885,inactive,2018
,22140085,inactive,2018
,22141812,inactive,2017
,22143300,inactive,2021
,2214398X,inactive,2017
,22145400,inactive,2022
,22146474,inactive,2017
,22146695,inactive,2017
,22147535,inactive,2019
,22147845,inactive,2017
,22184333,discontinued,2018
,22208372,inactive,2016
,22208879,discontinued,2017
,22236589,inactive,2020
,22244980,discontinued,2025
,22260439,discontinued,2025
,22263365,inactive,2018
,22269614,discontinued,2023
,22275053,discontinued,2025
,2227524X,discontinued,2018
,22292225,policy,2025
,22302492,discontinued,2018
,22306161,inactive,2017
,22336567,inactive,2019
,2236577X,inactive,2012
,22458921,inactive,2022
,22498958,discontinued,2019
,22502459,discontinued,2022
,22540709,policy,2025
,22544496,inactive,2019
,22551514,discontinued,2022
,22554165,policy,2023
,22656294,discontinued,2022
,22773878,discontinued,2019
,22778616,discontinued,2020
,22783075,discontinued,2019
,22783091,discontinued,2020
,22825126,inactive,2014
,22897895,discontinued,2025
,22897984,discontinued,2025
,22910026,inactive,2023
,22913467,inactive,2021
,22951210,discontinued,2025
,2297198X,inactive,2020
,22993231,inactive,2023
,22993932,inactive,2021
,23007877,inactive,2019
,23034858,inactive,2023
,23057394,inactive,2023
,23069759,inactive,2023
,23078553,discontinued,2025
,23078960,discontinued,2023
,23084030,inactive,2014
,23091185,discontinued,2020
,23094508,discontinued,2025
,23148063,inactive,2016
,23200790,discontinued,2020
,23207418,discontinued,2023
,23218169,discontinued,2023
,23256095,inactive,2018
,23257237,inactive,2017
,23259809,discontinued,2021
,23262133,inactive,2016
,23265507,inactive,2019
,2327638X,inactive,2020
,23290072,inactive,2018
,23311843,inactive,2020
,2331205X,inactive,2021
,23314737,discontinued,2017
,23320249,inactive,2023
,23327685,inactive,2015
,23327766,inactive,2018
,23337214,inactive,2024
,2333794X,inactive,2024
,23339748,discontinued,2021
,23365447,discontinued,2025
,23450282,discontinued,2020
,23455055,discontinued,2017
,23473983,discontinued,2020
,2347565X,discontinued,2017
,23519886,inactive,2016
,23520264,inactive,2016
,23523093,inactive,2022
,23523859,inactive,2019
,23524065,inactive,2023
,23524529,inactive,2021
,23525738,inactive,2023
,2352667X,inactive,2016
,23527285,inactive,2023
,23529008,inactive,2018
,23529245,inactive,2018
,23529393,inactive,2021
,23634782,inactive,2019
,23667478,inactive,2020
,23687487,discontinued,2023
,23727705,inactive,2023
,23732873,inactive,2023
,23744014,inactive,2018
,23745398,discontinued,2018
,23752696,inactive,2023
,23760605,inactive,2025
,23769998,inactive,2020
,23778075,discontinued,2021
,23789506,inactive,2021
,23791101,discontinued,2023
,23798068,inactive,2020
,23799889,inactive,2020
,23945125,discontinued,2020
,23956518,discontinued,2019
,23971789,inactive,2019
,23988703,inactive,2022
,23997532,inactive,2022
,2399830X,policy,2025
,24055875,inactive,2017
,24056553,inactive,2020
,24056618,inactive,2022
,2405710X,discontinued,2025
,24058521,inactive,2020
,24101869,discontinued,2023
,24156698,discontinued,2020
,24208124,policy,2024
,24237086,inactive,2015
,24447080,inactive,2023
,24448656,discontinued,2024
,24448729,discontinued,2022
,24476536,inactive,2022
,24554855,discontinued,2024
,24570370,discontinued,2025
,2458942X,policy,2025
,24621943,discontinued,2025
,2465101X,inactive,2016
,24651028,inactive,2016
,24684376,policy,2024
,24686026,inactive,2019
,24699632,discontinued,2023
,24734756,inactive,2023
,24761508,discontinued,2026
,2504124X,inactive,2021
,25102044,inactive,2025
,25103636,inactive,2023
,25158260,discontinued,2020
,25161067,inactive,2022
,25162853,inactive,2019
,25168657,inactive,2023
,25203134,discontinued,2025
,25226673,inactive,2021
,25233971,inactive,2023
,25253654,discontinued,2023
,25299824,discontinued,2026
,25304895,inactive,2021
,25349260,inactive,2021
,25443577,discontinued,2021
,25600982,inactive,2020
,2564016X,policy,2024
,25737619,inactive,2024
,2577767X,discontinued,2024
,25787519,inactive,2021
,25816853,discontinued,2025
,25822659,discontinued,2025
,25827472,discontinued,2026
,25870130,discontinued,2020
,25872648,policy,2023
,25883526,discontinued,2024
,25891316,policy,2024
,25897004,inactive,2020
,25897799,discontinued,2023
,25900420,inactive,2023
,25900552,inactive,2023
,25900862,inactive,2021
,25901346,inactive,2021
,25901354,inactive,2019
,25901389,inactive,2020
,25901400,inactive,2022
,25901419,inactive,2020
,25901435,inactive,2021
,25901451,inactive,2020
,25901486,inactive,2019
,25901532,inactive,2022
,25901559,inactive,2020
,25901583,inactive,2020
,25901591,inactive,2025
,2590177X,inactive,2020
,25901885,inactive,2020
,2590289X,inactive,2020
,25902903,inactive,2020
,26036363,inactive,2018
,2616275X,inactive,2021
,26176548,discontinued,2024
,26305046,discontinued,2024
,2632010X,inactive,2024
,26322714,policy,2023
,26334828,discontinued,2023
,26415321,inactive,2019
,26422727,inactive,2023
,26433346,inactive,2011
,26459094,discontinued,2024
,2657697X,inactive,2020
,26586762,discontinued,2020
,26613190,discontinued,2025
,26632187,policy,2022
,26659026,inactive,2020
,26662205,inactive,2023
,26662604,inactive,2023
,26662795,discontinued,2020
,26666294,inactive,2020
,26670119,inactive,2023
,26759780,discontinued,2025
,26767104,policy,2024
,26894653,inactive,2022
,26895870,inactive,2021
,26902052,inactive,2022
,26902060,inactive,2020
,26931508,inactive,2023
,26959623,discontinued,2023
,26959933,discontinued,2023
,27034542,inactive,2023
,27350142,discontinued,2025
,27372812,inactive,2023
,27523829,discontinued,2023
,27528464,inactive,2023
,27568202,discontinued,2025
,27568210,discontinued,2025
,27644170,discontinued,2023
,27728099,inactive,2023
,27752674,discontinued,2025
,27920178,discontinued,2026
,28072618,discontinued,2024
,29534577,discontinued,2025
,29534860,discontinued,2025
,29534917,discontinued,2025
,29586542,discontinued,2025
,2965730X,policy,2023
,29718317,policy,2025
,29807840,discontinued,2026
,29943191,discontinued,2024
,30057531,inactive,2023
,30088127,discontinued,2025
,30088488,discontinued,2025
,30281318,discontinued,2025
,3046403X,discontinued,2025
,30464048,discontinued,2025
,30499011,discontinued,2025
,30795354,discontinued,2025
00010197,,inactive,1998
00010340,,inactive,1999
00010847,,inactive,1948
00011037,,inactive,1986
00011096,,inactive,2002
00011460,,inactive,2008
00012351,,inactive,2005
00012459,,inactive,1987
00012475,,inactive,1999
0001253X,,inactive,2014
00012785,,inactive,2008
00012793,,inactive,2012
00012815,13990039,inactive,2015
00012890,21688052,inactive,1977
00012904,,inactive,1999
00013277,,inactive,1974
00013706,,inactive,1985
00013714,,inactive,1999
00013854,,inactive,1965
00013943,,inactive,1993
00014001,,inactive,1999
00014036,,inactive,1965
00014109,,inactive,1986
00014125,,inactive,1982
00014168,,inactive,1975
00014265,,inactive,1975
0001432X,,inactive,1988
00015121,,inactive,1991
00015148,,inactive,1977
00015156,,inactive,1971
00015180,,inactive,1998
00015253,,inactive,1986
00015288,,inactive,1982
0001530X,,inactive,2005
00015318,,inactive,1983
00015334,,inactive,2005
00015369,,inactive,2009
00015393,,inactive,1973
00015407,,inactive,1982
00015431,,inactive,1982
0001544X,15632563,inactive,2001
00015466,,inactive,1999
00015482,,inactive,1990
00015504,,inactive,2012
00015563,,inactive,1997
00015598,,inactive,1993
00015636,,inactive,1998
00015660,,inactive,1998
00015687,,inactive,2003
00015725,,inactive,2005
00015768,,inactive,1984
00015776,,inactive,2010
00015784,,inactive,1966
00015806,,inactive,1990
00015822,,inactive,1971
00015830,15882608,inactive,2014
00015857,,inactive,2016
00015938,,inactive,2003
00015954,,inactive,1982
00015989,,inactive,1982
00016004,,inactive,2001
00016039,,inactive,1965
00016055,,discontinued,2018
00016098,,inactive,2002
00016101,,inactive,1988
00016152,,inactive,1972
00016160,,inactive,1990
00016187,,inactive,1982
00016217,,inactive,1982
00016225,,inactive,1989
00016233,,inactive,2012
00016284,,inactive,1969
00016330,,inactive,2001
0001639X,,inactive,1994
00016470,,inactive,2005
00016497,,inactive,2004
00016500,,inactive,1988
00016527,,inactive,1982
00016535,,inactive,1981
0001656X,,inactive,1991
00016578,,inactive,1999
00016586,,inactive,1994
00016632,,inactive,1993
00016640,20142986,inactive,2020
00016659,,discontinued,2018
00016667,,inactive,1991
00016675,,inactive,1988
00016683,,inactive,1986
00016705,,inactive,1982
00016748,,inactive,1969
00016756,,inactive,1982
00016764,,inactive,1983
00016772,1365201X,inactive,2005
00016845,,inactive,2002
00016853,,inactive,1983
0001687X,,inactive,2002
00016896,,inactive,1996
00016934,,inactive,1971
00016985,,inactive,1971
00017000,,inactive,1997
00017043,,discontinued,2018
00017051,21903743,inactive,2014
00017078,,inactive,1979
00017116,,inactive,2000
00017132,,inactive,2006
00017183,,inactive,2000
00017205,,inactive,1982
00017248,,inactive,1966
00017299,,inactive,1997
00017302,,inactive,1997
00017329,,inactive,1971
00017604,,inactive,1990
0001785X,,inactive,1998
00017884,,inactive,2001
0001821X,,inactive,2003
00018368,,inactive,2023
00018449,,inactive,2009
00018716,,inactive,1977
00019259,,inactive,1983
00019313,,inactive,1989
00019402,,inactive,1976
00019526,,inactive,1991
00019992,,inactive,1968
00020028,,inactive,1973
00020478,,inactive,2021
00020796,,inactive,2023
00020931,,inactive,1977
00020958,,inactive,2000
00021008,,inactive,1993
00021369,18811280,inactive,1991
00021407,,inactive,2004
00021423,,inactive,1988
00021458,,inactive,1993
00021571,,inactive,1984
00021857,,inactive,2023
00022284,,inactive,1980
00022470,,inactive,1989
00023027,,inactive,1992
00023264,,inactive,1995
00023329,,inactive,1992
00023388,,inactive,1994
00023442,,inactive,1970
0002371X,,inactive,1999
00023957,,inactive,2020
00024198,,inactive,1997
00024317,,inactive,2016
00024538,,inactive,2015
00024678,21624151,inactive,2016
00024821,,inactive,2003
0002502X,18491251,inactive,2014
00025569,,inactive,2005
00025852,,inactive,2022
00025917,,inactive,2005
00026018,16140176,inactive,2006
00026417,,inactive,2014
00026557,,inactive,1989
00026700,,inactive,1978
00027049,,inactive,2006
00027103,,inactive,1972
00027138,,inactive,1992
00027146,,inactive,1975
00027154,,inactive,1977
00027448,,inactive,1973
00027626,,inactive,2018
00027936,,inactive,1975
00027944,,inactive,2011
00027979,,inactive,2016
00028002,,inactive,1972
00028010,,inactive,1978
00028045,,inactive,2016
00028061,,inactive,1986
00028088,,inactive,1987
00028185,,inactive,1974
00028223,,inactive,2011
00028231,,inactive,1999
00028266,,inactive,1999
00028584,,inactive,1987
00028606,,inactive,1976
00028738,,inactive,2017
00028770,,inactive,1989
00028894,,inactive,2000
00028916,,inactive,2002
00028991,,inactive,1976
00029106,,inactive,1991
00029211,,inactive,1978
0002922X,23743018,inactive,1993
00029238,,inactive,1995
00029289,,inactive,1994
00029351,,inactive,1987
00029408,23309474,inactive,1973
00029416,,inactive,1986
00029483,10968644,inactive,2021
00029491,,inactive,1987
00029513,21635773,inactive,2001
00029521,,inactive,1976
00029572,,inactive,1977
00029580,,inactive,1975
00029718,,inactive,1996
00030023,,inactive,1994
00030031,,inactive,2022
00030244,,inactive,2006
00030341,,inactive,2008
00030465,,inactive,1977
00030538,,inactive,1984
00030589,,inactive,1997
00030635,,inactive,1983
00030805,,inactive,1993
0003097X,21618062,inactive,2021
00030996,,inactive,2016
00031070,,inactive,2001
00031186,19386958,inactive,2023
00031194,,inactive,1983
00031208,,inactive,1974
00031348,15559823,discontinued,2024
00031453,19435673,inactive,2017
00031569,,inactive,2001
00032417,1432055X,inactive,2022
00032468,,discontinued,2018
0003276X,10970185,inactive,2002
00032786,,inactive,1996
00033049,,inactive,2016
00033146,15229505,inactive,1999
00033162,,inactive,1992
00033189,,inactive,1973
00033324,,inactive,1980
00033480,,inactive,1985
00033561,,inactive,1994
00033855,,inactive,1975
00033871,,inactive,1981
0003388X,,inactive,1979
00033944,17683157,inactive,2006
00033952,,inactive,1977
00033960,,inactive,1982
00033979,,inactive,1976
00033995,17683211,inactive,2004
00034061,,inactive,1981
00034088,2100000X,inactive,2021
0003410X,,inactive,2003
00034118,17813875,inactive,2014
00034134,,inactive,2001
00034150,,inactive,1993
00034169,12864838,inactive,2010
00034185,,inactive,1997
00034193,,inactive,1992
0003424X,,inactive,1995
00034274,,inactive,1977
00034312,,inactive,1998
00034355,,inactive,1976
